Call ID,Date,Caller Name,Contact Name,Title,Organization,City,County,Phone,Email,Categorical Grouping,Has Open Space?,Space (sq ft),Max Capacity,Past Partnerships?,Impact Assessment Rating,Outcome,Stage,Call Back?,Notes / Next Steps,organization_name,org_name_clean,county_name,outcome_clean,positive_response,region_tracker,region_id_tracker,school_name_clean,NCESSCH,SCH_NAME,region_school,region_id_school,high_need,match_method,match_score,final_region
,2026-03-05,Grant,,,Indian Creek High School,Wintersville,Jefferson County,(740)264-1163,,5.0,,,,,,No Answer,,,,Indian Creek High School,indian creek,Jefferson,no answer,False,Group 5 - Eastern Edge,5.0,indian creek,390478003004,Indian Creek High School,Group 5 - Eastern Edge,5.0,False,normalized_name_county,,Group 5 - Eastern Edge
,2026-03-05,Grant,Garrett Davis,,Marietta Elementary School,Marietta,Washington County,(740)374-6530,,3.0,,,700.0,Unsure,,,,,"Left voicemail with the principal, worth calling back",Marietta Elementary School,marietta,Washington,,False,Group 3 - Southeast Cluster,3.0,marietta,391001901244,Marietta Elementary School,Group 3 - Southeast Cluster,3.0,False,normalized_name_county,,Group 3 - Southeast Cluster
,2026-03-05,Mac,,,Morgan High School,McConnelsville,Morgan County,(740)962-2944,,3.0,,,,,,Voicemail,Cold,,"Left voicemail with the principal, worth calling back",Morgan High School,morgan,Morgan,voicemail,False,Group 3 - Southeast Cluster,3.0,morgan,390487703401,Morgan High School,Group 3 - Southeast Cluster,3.0,False,normalized_name_county,,Group 3 - Southeast Cluster
,2026-03-05,Grant,Chad Grove,Principal,Logan High School,Logan,Hocking County,(740)385-2069,,3.0,,,,,,Voicemail,Cold,,"Left voicemail with the principal, worth calling back",Logan High School,logan,Hocking,voicemail,False,Group 3 - Southeast Cluster,3.0,logan,390442401174,Logan High School,Group 3 - Southeast Cluster,3.0,False,normalized_name_county,,Group 3 - Southeast Cluster
,2026-03-05,Grant,,Principal,Jasper Elementary School,Piketon,Pike County,(740) 289-2425,,4.0,,,,,,Voicemail,Cold,,"Left voicemail with the principal, worth calling back",Jasper Elementary School,jasper,Pike,voicemail,False,Group 4 - Southern Corridor,4.0,jasper,390491303501,Jasper Elementary School,Group 4 - Southern Corridor,4.0,False,normalized_name_county,,Group 4 - Southern Corridor
,2026-03-05,Grant,,Secretary,Oak Hill Elementary,Oak Hill,Jackson County,(740) 682-7096,,4.0,Yes,,,,,Call Back,,No,"Spoke with secretary, she promised to call me back",Oak Hill Elementary,oak hill elementary,Jackson,call back,False,Group 4 - Southern Corridor,4.0,oak hill elementary,390477604624,Oak Hill Elementary,Group 4 - Southern Corridor,4.0,False,normalized_name_county,,Group 4 - Southern Corridor
,2026-03-06,Lexi,Kimberly ,Principal,Washinton Elementary,Gallpolis,Galia County,740-446-3213,,4.0,,,,,,Voicemail,Cold,,,Washinton Elementary,washinton elementary,Galia,voicemail,False,,,,,,,,,unmatched,,
,2026-03-06,Lexi,Kristy,Secretary,Jackson Northview Elementary School,Jackson City,Jackson County,(740) 286-2390,,4.0,,,,,,Call Back,Cold,No,"Secretary, gave number to principal ",Jackson Northview Elementary School,jackson northview,Jackson,call back,False,Group 4 - Southern Corridor,4.0,jackson northview,390441505400,Jackson Northview Elementary School,Group 4 - Southern Corridor,4.0,False,normalized_name_county,,Group 4 - Southern Corridor
,2026-03-06,Luke,Emma,,Caldwell Elementary School,Caldwell,Noble County,740-732-4614,emarshall@caldwell.k12.oh.us,5.0,,,,,,Interested,Contacted,No,Email Principle about details of program,Caldwell Elementary School,caldwell,Noble,interested,True,Group 5 - Eastern Edge,5.0,caldwell,390452502145,Caldwell High School,Group 5 - Eastern Edge,5.0,False,normalized_name_county,,Group 5 - Eastern Edge
,2026-03-06,Grant,,Secretary,Martins Ferry High School,Martins Ferry,Belmont County,(740)633-0684,,5.0,,,,,,Call Back,Contacted,No,"I spoke to the receptionist who was new and couldn't figure out how to transfer me, she gave the assistant principal my #. See seemed earnest, great to call back if I'm not contacted first",Martins Ferry High School,martins ferry,Belmont,call back,False,Group 5 - Eastern Edge,5.0,martins ferry,390443401270,Martins Ferry Middle School,Group 5 - Eastern Edge,5.0,False,normalized_name_county,,Group 5 - Eastern Edge
,2026-03-06,Grant,Audrey Carpenter,Supervisor,Cambridge Primary School,Cambridge,Guernsey County,(740)439-7547,,5.0,,,,,,Voicemail,Contacted,,Left voicemail with supervisor.,Cambridge Primary School,cambridge primary,Guernsey,voicemail,False,Group 5 - Eastern Edge,5.0,cambridge primary,390436904198,Cambridge Primary School,Group 5 - Eastern Edge,5.0,False,normalized_name_county,,Group 5 - Eastern Edge
,2026-03-06,Grant,,,trimble high school,Glouster,Athens County,(740)767-3434,,3.0,,,,,,No Answer,Cold,,"No response, dont call back",trimble high school,trimble,Athens,no answer,False,Group 3 - Southeast Cluster,3.0,trimble,390459202384,Trimble High School,Group 3 - Southeast Cluster,3.0,True,normalized_name_county,,Group 3 - Southeast Cluster
,2026-03-06,Grant,,,Central Elementary,McArthur,Vinton County,(740)596-4155,,3.0,,,,,,No Answer,Cold,,"No response, dont call back",Central Elementary,central elementary,Vinton,no answer,False,Group 3 - Southeast Cluster,3.0,central elementary,390503903932,Central Elementary,Group 3 - Southeast Cluster,3.0,False,normalized_name_county,,Group 3 - Southeast Cluster
,2026-03-06,Grant,,,Eastern High School,Reedsville,Meigs County,(740)985-3329,,3.0,,,,,,Voicemail,Contacted,,"Left message with principal, also called district office --> Routed to superintendent, I left a message with both, i think it is worth a callback",Eastern High School,eastern,Meigs,voicemail,False,Group 3 - Southeast Cluster,3.0,eastern,390485101428,Eastern Elementary School,Group 3 - Southeast Cluster,3.0,True,normalized_name_county,,Group 3 - Southeast Cluster
,2026-03-06,Grant,"Bob Byer, Jeniffer Reed","Principal, Secretary",Cambridge High School,Cambridge,Guernsey County,(740)435-1100,,5.0,,,,,,Interested,Contacted,,Both away from desk: left message with both,Cambridge High School,cambridge,Guernsey,interested,True,Group 5 - Eastern Edge,5.0,cambridge,390436900224,Cambridge Middle School,Group 5 - Eastern Edge,5.0,False,normalized_name_county,,Group 5 - Eastern Edge
,2026-03-06,Grant,,,Woodsfield Elementary School,Woodsfield,Monroe County,(740)472-0953,,5.0,,,,,,Not Interested,Cold,,Not interested,Woodsfield Elementary School,woodsfield,Monroe,not interested,False,Group 5 - Eastern Edge,5.0,woodsfield,390486503339,Woodsfield Elementary School,Group 5 - Eastern Edge,5.0,False,normalized_name_county,,Group 5 - Eastern Edge
,2026-03-06,Grant,,,River Elementary School,Hannibal,Monroe County,(740)483-1358,,5.0,,,,,,Voicemail,Cold,,"intiially uninterested, but I called their district instead of secretary and ended up giving number to superintendent",River Elementary School,river,Monroe,voicemail,False,Group 5 - Eastern Edge,5.0,river,390486503330,River Elementary School,Group 5 - Eastern Edge,5.0,False,normalized_name_county,,Group 5 - Eastern Edge
,2026-03-06,Grant,Lavanna,Secretary to Superindendent,federal hocking middle school,Stewart,Athens County,(740)662-6691,email: llaughing@fhlancers.com,3.0,,,,,,Interested,Assessing Fit,Emailed,"Email lavana with information about the program. They seemed insterested, but were concerned about the price potentially. She says if its for the students, they can make an exception",federal hocking middle school,federal hocking,Athens,interested,True,Group 3 - Southeast Cluster,3.0,federal hocking,390459102383,Federal Hocking High School,Group 3 - Southeast Cluster,3.0,True,normalized_name_county,,Group 3 - Southeast Cluster
,2026-03-09,Lexi,Jessie,Secretary to District Office,Glenford Elemenary,Glenford,Perry County,740-743-1303 (district office),,2.0,,,,,,Call Back,Cold,No,Call back in a week and ask to speak to Mrs. Gussler,Glenford Elemenary,glenford elemenary,Perry,call back,False,Group 2 - Newark / East-Central,2.0,,,,,,,unmatched,61.53846153846154,Group 2 - Newark / East-Central
,2026-03-09,Lexi,Mrs. Canon,Principal,Junction City Elementary School,Junction City,Perry County,(740)987-3751,,2.0,,,,,,Voicemail,Cold,,Left voicemail with principal ,Junction City Elementary School,junction city,Perry,voicemail,False,Group 2 - Newark / East-Central,2.0,junction city,390444701393,Junction City Elementary School,Group 2 - Newark / East-Central,2.0,False,normalized_name_county,,Group 2 - Newark / East-Central
,2026-03-09,Lexi,Amy,Secretary ,Millcreek Elementary School,Corning,Perry County,(740)721-0522,,2.0,,,,,,Voicemail,Cold,,Left voicemail with principal ,Millcreek Elementary School,millcreek,Perry,voicemail,False,Group 2 - Newark / East-Central,2.0,millcreek,390490600306,Millcreek Elementary School,Group 2 - Newark / East-Central,2.0,False,normalized_name_county,,Group 2 - Newark / East-Central
,2026-03-09,Grant,Lucas Parsons,Principal,Buckeye Local High School,Rayland,Jefferson County,(740)859-2196,,5.0,,,,,,Voicemail,Cold,,Left voicemail with principal ,Buckeye Local High School,buckeye local,Jefferson,voicemail,False,Group 5 - Eastern Edge,5.0,buckeye local,390477804400,Buckeye Local High School,Group 5 - Eastern Edge,5.0,True,normalized_name_county,,Group 5 - Eastern Edge
,2026-03-10,Grant,,Principal Secretary,River Valley High School,Bidwell,Gallia County,(740)446-2926,"Rochelle Halley: 7403799085, extension 10026",4.0,,,,,,Call Back,Assessing Fit,No,"Identified their Rochelle Halley: Curriculum Administator 7403799085, extension 10026. Rochelle did not answer, she was away from phone, definitelly call back",River Valley High School,river valley,Gallia,call back,False,Group 4 - Southern Corridor,4.0,river valley,390656804129,River Valley Middle School,Group 4 - Southern Corridor,4.0,True,normalized_name_county,,Group 4 - Southern Corridor
,2026-03-10,Grant,,Secretary,Jackson High School,Jackson,Jackson County,(740) 286-7575,,4.0,,,,,,Call Back,Cold,No,"Worth Call back: Secretary is very nice, seems excited to help, but both Principals in meetings, left voicemail with guidance councellor to guidance councellor",Jackson High School,jackson,Jackson,call back,False,Group 4 - Southern Corridor,4.0,jackson,390441501075,Jackson High School,Group 4 - Southern Corridor,4.0,True,normalized_name_county,,Group 4 - Southern Corridor
,2026-03-10,Grant,,"Elementary and Middle School Principals, Guidance Counsellor",Buckeye Trail Elementary,Lore City,Guernsey County,(740)489-5100,,5.0,,,,,,Voicemail,Cold,,"Left voicemail with Elementary principal, Middle School Principal, Guidance Counsellor",Buckeye Trail Elementary,buckeye trail elementary,Guernsey,voicemail,False,Group 5 - Eastern Edge,5.0,buckeye trail elementary,390696804255,Buckeye Trail Elementary,Group 5 - Eastern Edge,5.0,False,normalized_name_county,,Group 5 - Eastern Edge
,2026-03-10,Grant,Sue Ferrelli,Curriculum Director,Anna Marie Ayers Elementary School,Martins Ferry,Belmont County,(740)633-1732,sueferrelli@mfcsd.org,5.0,,,,,,Interested,Partnership Discussion,Emailed,"Spoke to curriculum director, she indicated an interest in the program, specifically asking for more information, so that she can pass it on back to the superintendent. She had some questions which I think the survey would help adress",Anna Marie Ayers Elementary School,anna marie ayers,Belmont,interested,True,Group 5 - Eastern Edge,5.0,anna marie ayers,390443405465,Anna Marie Ayers Elementary School,Group 5 - Eastern Edge,5.0,False,normalized_name_county,,Group 5 - Eastern Edge
,2026-03-10,Grant,,,Shenandoah Elementary School,Sarahsville,Noble County,(740)732-5661,,5.0,,,,,,Voicemail,Cold,,Voicemail with principal,Shenandoah Elementary School,shenandoah,Noble,voicemail,False,Group 5 - Eastern Edge,5.0,shenandoah,390489003448,Shenandoah High School,Group 5 - Eastern Edge,5.0,False,normalized_name_county,,Group 5 - Eastern Edge
,2026-03-10,Grant,,,coolville elementary school,Coolville,Athens County,(740)667-3121,,3.0,,,,,,No Answer,Cold,No,"No response, not worth callback",coolville elementary school,coolville,Athens,no answer,False,Group 3 - Southeast Cluster,3.0,coolville,390459102382,Coolville Elementary School,Group 3 - Southeast Cluster,3.0,False,normalized_name_county,,Group 3 - Southeast Cluster
,2026-03-10,Grant,,,Cambridge Primary School,Cambridge,Guernsey County,(740)439-7547,,5.0,,,,,,Voicemail,Cold,,Left message with principal,Cambridge Primary School,cambridge primary,Guernsey,voicemail,False,Group 5 - Eastern Edge,5.0,cambridge primary,390436904198,Cambridge Primary School,Group 5 - Eastern Edge,5.0,False,normalized_name_county,,Group 5 - Eastern Edge
,2026-03-12,Luke ,,,Jackson Middle School,Jackson,Jackson County,(740) 286-7586,,4.0,,,,,,Voicemail,Cold,No,,Jackson Middle School,jackson,Jackson,voicemail,False,Group 4 - Southern Corridor,4.0,jackson,390441501075,Jackson High School,Group 4 - Southern Corridor,4.0,True,normalized_name_county,,Group 4 - Southern Corridor
,2026-03-12,Luke,,,Jackson Southview Elementary School,Jackson,Jackson County ,(740) 286-1831,,4.0,,,,,,Voicemail,Cold,No,,Jackson Southview Elementary School,jackson southview,Jackson,voicemail,False,Group 4 - Southern Corridor,4.0,jackson southview,390441504535,Jackson Southview Elementary School,Group 4 - Southern Corridor,4.0,False,normalized_name_county,,Group 4 - Southern Corridor
,2026-03-12,Luke,,,alexander elementary school,Albany,Athens County,(740)698-8831,mkarr@alexanderschools.org,3.0,,,,,,Voicemail,Cold,No,Left Email and Voicemail,alexander elementary school,alexander,Athens,voicemail,False,Group 3 - Southeast Cluster,3.0,alexander,390459002377,Alexander Elementary School,Group 3 - Southeast Cluster,3.0,False,normalized_name_county,,Group 3 - Southeast Cluster
,2026-03-18,Grant,Dawn Winland,Principal,Brook Intermediate School,Byesville,Guernsey County,(740)685-2526,dawn.winlind@rollinghills.k12.oh.us,3.0,,,,,,Voicemail,Cold,Emailed,Left email: Got principals email from secretary,Brook Intermediate School,brook intermediate,Guernsey,voicemail,False,Group 5 - Eastern Edge,5.0,brook intermediate,390473002831,Brook Intermediate School,Group 5 - Eastern Edge,5.0,False,normalized_name_county,,Group 5 - Eastern Edge
,2026-03-18,Grant,Madi Fraley,Career Navigator,Meadowbrook High School,Byesville,Guernsey County,(740)685-2566,madi.fraley@rollinghills.k12.oh.us,3.0,,,,,,Interested,Cold,Emailed,Left email: Got administrators email from secretary,Meadowbrook High School,meadowbrook,Guernsey,interested,True,Group 5 - Eastern Edge,5.0,meadowbrook,390473002835,Meadowbrook High School,Group 5 - Eastern Edge,5.0,False,normalized_name_county,,Group 5 - Eastern Edge
,2026-03-18,Grant,Principal,Lynette Gorman,East Garfield Elementary School,Steubenville,Jefferson County,(740)282-5112,Lgorman@rollred.org,5.0,,,,,,Voicemail,Cold,Emailed,"Left email with principal: I got routed to the Steubenville Board Office: 7402833767, and Mrs. Woofe, who told me to contact the principal Mrs. Gorman: Lgorman@rollred.org",East Garfield Elementary School,east garfield,Jefferson,voicemail,False,Group 5 - Eastern Edge,5.0,east garfield,390448201710,East Garfield Elementary School,Group 5 - Eastern Edge,5.0,False,normalized_name_county,,Group 5 - Eastern Edge
,2026-03-02,Grant,,,Circleville Elementary School,Circleville,Pickaway County,(740)474-2495,,1.0,,,,,,Voicemail,Cold,,Left voicemails Call back this one seems cool,Circleville Elementary School,circleville,Pickaway,voicemail,False,Group 1 - Columbus Core,1.0,circleville,390437600398,Circleville High School,Group 1 - Columbus Core,1.0,False,normalized_name_county,,Group 1 - Columbus Core
,2026-03-02,Grant,,,Pleasantville Elementary School,Pleasantville,Fairfield County,(740)468-2181,,1.0,,,,,,Voicemail,Cold,,Left voicemail,Pleasantville Elementary School,pleasantville,Fairfield,voicemail,False,Group 1 - Columbus Core,1.0,pleasantville,390468702684,Pleasantville Elementary School,Group 1 - Columbus Core,1.0,False,normalized_name_county,,Group 1 - Columbus Core
,2026-03-03,Grant,,,Pickerington Elementary School,Pickerington,Fairfield County,(614)833-2115,,1.0,,,,,,No Answer,Cold,,,Pickerington Elementary School,pickerington,Fairfield,no answer,False,Group 1 - Columbus Core,1.0,pickerington,390468902689,Pickerington Elementary School,Group 1 - Columbus Core,1.0,False,normalized_name_county,,Group 1 - Columbus Core
,2026-03-03,Grant,,,Amanda-Clearcreek High School,Amanda,Fairfield County,(740)969-7251,,1.0,,,,,,Voicemail,Cold,,Left voicemail,Amanda-Clearcreek High School,amanda clearcreek,Fairfield,voicemail,False,Group 1 - Columbus Core,1.0,amanda clearcreek,390468400919,Amanda-Clearcreek Middle School,Group 1 - Columbus Core,1.0,True,normalized_name_county,,Group 1 - Columbus Core
,2026-03-03,Grant,,,James Conger Elementary School,Delaware,Delaware County,(740)833-1300,,1.0,,,,,,Voicemail,Cold,,,James Conger Elementary School,james conger,Delaware,voicemail,False,Group 1 - Columbus Core,1.0,james conger,390438700847,James Conger Elementary School,Group 1 - Columbus Core,1.0,False,normalized_name_county,,Group 1 - Columbus Core
,2026-03-03,Grant,,,Deer Run Elementary School,Dublin,Delaware County,(614)764-5932,,1.0,,,,,,Not Interested,Cold,,,Deer Run Elementary School,deer run,Delaware,not interested,False,Group 1 - Columbus Core,1.0,,390470204165,Deer Run Elementary School,Group 1 - Columbus Core,1.0,False,normalized_name_unique,,Group 1 - Columbus Core
,2026-03-03,Grant,,,North Union Elementary School,Richwood,Union County,(740)943-3113,,1.0,,,,,,Voicemail,Cold,,Voicemail,North Union Elementary School,north union,Union,voicemail,False,Group 1 - Columbus Core,1.0,north union,390503303917,North Union Middle School,Group 1 - Columbus Core,1.0,False,normalized_name_county,,Group 1 - Columbus Core
,2026-03-03,Grant,,,Glacier Ridge Elementary,Dublin,Union County,(614)733-0012,,1.0,,,,,,Voicemail,,,Voicemail with secretary,Glacier Ridge Elementary,glacier ridge elementary,Union,voicemail,False,Group 1 - Columbus Core,1.0,,390470205318,Glacier Ridge Elementary,Group 1 - Columbus Core,1.0,False,normalized_name_unique,,Group 1 - Columbus Core
,2026-03-03,Grant,Principal,Michelle __,Wellston Intermediate School,Wellston,Jackson County,(740) 384-2060,,4.0,,,,,,Voicemail,Contacted,,Left voicemail with secretary and principal Michelle,Wellston Intermediate School,wellston intermediate,Jackson,voicemail,False,Group 4 - Southern Corridor,4.0,wellston intermediate,390450201941,Wellston Intermediate School,Group 4 - Southern Corridor,4.0,False,normalized_name_county,,Group 4 - Southern Corridor
,2026-03-03,Grant,,,Oak Hill Middle/High School,Oak Hill,Jackson County,(740) 682-7055,,4.0,,,,,,Voicemail,Cold,,Left voicemail with secretary,Oak Hill Middle/High School,oak hill middle,Jackson,voicemail,False,Group 4 - Southern Corridor,4.0,oak hill middle,390477604623,Oak Hill Middle/High School,Group 4 - Southern Corridor,4.0,False,normalized_name_county,,Group 4 - Southern Corridor
,2026-03-03,Grant,Amanda,Secretary,Bundy Elementary School,Wellston,Jackson County,(740) 384-6245,,4.0,,,,,,Voicemail,Cold,,Left voicemail with Amanda the secretary,Bundy Elementary School,bundy,Jackson,voicemail,False,Group 4 - Southern Corridor,4.0,bundy,390450201939,Bundy Elementary School,Group 4 - Southern Corridor,4.0,False,normalized_name_county,,Group 4 - Southern Corridor
,2026-03-03,Grant,,,West Elementary School,Malta,Morgan County,(740)342-4873,3,4.0,,,,,,No Answer,Cold,,,West Elementary School,west,Morgan,no answer,False,Group 3 - Southeast Cluster,3.0,west,390487704645,West Elementary School,Group 3 - Southeast Cluster,3.0,True,normalized_name_county,,Group 3 - Southeast Cluster
,2026-03-03,Grant,,,Johnstown Elementary School,Johnstown,Licking County,(740)967-5461,1,1.0,,,,,,Call Back,Cold,,They said to call back later; but it was already late in the day,Johnstown Elementary School,johnstown,Licking,call back,False,Group 2 - Newark / East-Central,2.0,johnstown,390479803063,Johnstown High School,Group 2 - Newark / East-Central,2.0,False,normalized_name_county,,Group 2 - Newark / East-Central
,2026-03-03,Grant,,,Asbury Elementary School,Columbus,Franklin County,(614)833-2000,1,1.0,,,,,,Voicemail,,,Left Voicemail,Asbury Elementary School,asbury,Franklin,voicemail,False,Group 1 - Columbus Core,1.0,asbury,390469704299,Asbury Elementary School,Group 1 - Columbus Core,1.0,False,normalized_name_county,,Group 1 - Columbus Core
,2026-03-03,Grant,,,Baldwin Road Junior High School,Reynoldsburg,Franklin County,(614)367-1600,1,1.0,,,,,,Voicemail,,,Voicemail,Baldwin Road Junior High School,baldwin road junior,Franklin,voicemail,False,Group 1 - Columbus Core,1.0,baldwin road junior,390470002740,Baldwin Road Junior High School,Group 1 - Columbus Core,1.0,False,normalized_name_county,,Group 1 - Columbus Core
,2026-03-03,Grant,,,Alton Hall Elementary School,Galloway,Franklin County,(614)801-8000,1,1.0,,,,,,No Answer,,,No answer,Alton Hall Elementary School,alton hall,Franklin,no answer,False,Group 1 - Columbus Core,1.0,alton hall,390448001654,Alton Hall Elementary School,Group 1 - Columbus Core,1.0,True,normalized_name_county,,Group 1 - Columbus Core
,2026-03-03,Grant,,,Beechwood Elementary School,Whitehall,Franklin County,(614)417-5300,1,1.0,,,,,,Voicemail,,,Voicemail,Beechwood Elementary School,beechwood,Franklin,voicemail,False,Group 1 - Columbus Core,1.0,beechwood,390450701978,Beechwood Elementary School,Group 1 - Columbus Core,1.0,False,normalized_name_county,,Group 1 - Columbus Core
,2026-03-03,Grant,,,Blacklick Elementary School,Blacklick,Franklin County,(614)759-5100,1,1.0,,,,,,Not Interested,,,They already access JACO programming,Blacklick Elementary School,blacklick,Franklin,not interested,False,Group 1 - Columbus Core,1.0,blacklick,390469600465,Blacklick Elementary School,Group 1 - Columbus Core,1.0,False,normalized_name_county,,Group 1 - Columbus Core
,2026-03-03,Grant,,,Bolton Crossing Elementary,Grove City,Franklin County,(614)801-8275,1,1.0,,,,,,Voicemail,,,Voicemail,Bolton Crossing Elementary,bolton crossing elementary,Franklin,voicemail,False,Group 1 - Columbus Core,1.0,bolton crossing elementary,390448005876,Bolton Crossing Elementary,Group 1 - Columbus Core,1.0,False,normalized_name_county,,Group 1 - Columbus Core
