SCHOOL_YEAR,FIPST,STATENAME,ST,SCH_NAME,LEA_NAME,STATE_AGENCY_NO,UNION,ST_LEAID,LEAID,ST_SCHID,NCESSCH,SCHID,MSTREET1,MSTREET2,MSTREET3,MCITY,MSTATE,MZIP,MZIP4,LSTREET1,LSTREET2,LSTREET3,LCITY,LSTATE,LZIP,LZIP4,PHONE,WEBSITE,SY_STATUS,SY_STATUS_TEXT,UPDATED_STATUS,UPDATED_STATUS_TEXT,EFFECTIVE_DATE,SCH_TYPE_TEXT,SCH_TYPE,RECON_STATUS,OUT_OF_STATE_FLAG,CHARTER_TEXT,CHARTAUTH1,CHARTAUTHN1,CHARTAUTH2,CHARTAUTHN2,NOGRADES,G_PK_OFFERED,G_KG_OFFERED,G_1_OFFERED,G_2_OFFERED,G_3_OFFERED,G_4_OFFERED,G_5_OFFERED,G_6_OFFERED,G_7_OFFERED,G_8_OFFERED,G_9_OFFERED,G_10_OFFERED,G_11_OFFERED,G_12_OFFERED,G_13_OFFERED,G_UG_OFFERED,G_AE_OFFERED,GSLO,GSHI,LEVEL,IGOFFERED,school_name_clean,school_name_strict_clean,district_name_clean,zip5,phone_clean,street_address_clean,school_irn,county_name,region,region_id,anchor_county,school_level,school_type,is_regular_or_cte,latitude,longitude,coordinate_match_method,county_latitude,county_longitude,approx_longitude,approx_latitude,location_method,building_irn,school_name_clean_high_need,district_name_clean_high_need,Building Name,LEA Name,Federal ESEA Identification ,students_served,high_need,match_method,match_score
2024-2025,39,OHIO,OH,Horizon Science Acad Cleveland,Horizon Science Acad Cleveland,1,,OH-133629,3900040,OH-133629-133629,390004002939,3902939,6000 S Marginal Rd,,,Cleveland,OH,44103,1042.0,6000 S Marginal Rd,,,Cleveland,OH,44103,1042.0,(216)432-3660,http://www.hsas.org,1,Open,1,Open,05/13/2025,Regular School,1,No,No,Yes,048199,ESC OF LAKE ERIE WEST,,,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,09,12,High,As reported,horizon science acad cleveland,horizon science acad cleveland,horizon science acad cleveland,44103,2164323660,6000 s marginal rd,133629,Cuyahoga,,,,High,Regular School,True,,,unmatched,41.42432368446187,-81.65872171041782,-81.62418717588329,41.423242603380785,county_centroid_jitter,,,,,,,0.0,False,unmatched,
2024-2025,39,OHIO,OH,Horizon Science Academy Columbus,Horizon Science Academy Columbus,1,,OH-133660,3900042,OH-133660-133660,390004202978,3902978,1070 Morse Rd,,,Columbus,OH,43229,6290.0,1070 Morse Rd,,,Columbus,OH,43229,6290.0,(614)846-7616,http://hs.horizoncolumbus.org/,1,Open,1,Open,05/13/2025,Regular School,1,No,No,Yes,048199,ESC OF LAKE ERIE WEST,,,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,09,12,High,As reported,horizon science academy columbus,horizon science academy columbus,horizon science academy columbus,43229,6148467616,1070 morse rd,133660,Franklin,Group 1 - Columbus Core,1.0,Franklin,High,Regular School,True,,,unmatched,39.96948401079257,-83.0093204437284,-82.95953065393861,39.96712164843021,county_centroid_jitter,,,,,,,0.0,False,unmatched,
2024-2025,39,OHIO,OH,Riverside Community School Inc. dba Riverside Academy,Riverside Community School Inc. dba Riverside Academy,1,,OH-133678,3900043,OH-133678-133678,390004302979,3902979,3280 River Rd,,,Cincinnati,OH,45204,1214.0,3280 River Rd,,,Cincinnati,OH,45204,1214.0,(513)921-7777,http://acariverside.com/,1,Open,1,Open,05/13/2025,Regular School,1,No,No,Yes,016998,OHIO COUNCIL OF COMMUNITY SCHOOLS,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported,riverside community inc dba riverside academy,riverside community school inc dba riverside academy,riverside community inc dba riverside academy,45204,5139217777,3280 river rd,133678,Hamilton,,,,Elementary,Regular School,True,,,unmatched,39.195579816552296,-84.54271197071733,-84.57076001876538,39.17592015689264,county_centroid_jitter,,,,,,,0.0,False,unmatched,
2024-2025,39,OHIO,OH,Richard Allen Academy,Richard Allen Academy,1,,OH-133736,3900047,OH-133736-133736,390004702997,3902997,1206 Shuler Ave,,,Hamilton,OH,45011,5804.0,1206 Shuler Ave,,,Hamilton,OH,45011,5804.0,(513)795-6549,http://www.richardallenschools.com,1,Open,1,Open,05/13/2025,Regular School,1,No,No,Yes,083246,ST ALOYSIUS ORPHANAGE,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,KG,06,Elementary,As reported,richard allen academy,richard allen academy,richard allen academy,45011,5137956549,1206 shuler ave,133736,Butler,,,,Elementary,Regular School,True,,,unmatched,39.438624443153486,-84.57560401259452,-84.55896737595789,39.45612194065098,county_centroid_jitter,,,,,,,0.0,False,unmatched,
2024-2025,39,OHIO,OH,Invictus High School,Invictus High School,1,,OH-133835,3900052,OH-133835-133835,390005203027,3903027,3122 Euclid Ave,,,Cleveland,OH,44115,2508.0,3122 Euclid Ave,,,Cleveland,OH,44115,2508.0,(216)539-7200,http://www.invictushigh.org/,1,Open,1,Open,05/13/2025,Regular School,1,No,No,Yes,007991,EDUCATIONAL RESOURCE CONSULTANTS OF OHIO,,,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,09,12,High,As reported,invictus,invictus high school,invictus,44115,2165397200,3122 euclid ave,133835,Cuyahoga,,,,High,Regular School,True,,,unmatched,41.42432368446187,-81.65872171041782,-81.62586885756497,41.453753113891295,county_centroid_jitter,133835,invictus,invictus,Invictus High School,Invictus High School,Priority (CSI),0.0,False,exact_irn,
2024-2025,39,OHIO,OH,Towpath Trail High School,Towpath Trail High School,1,,OH-133868,3900053,OH-133868-133868,390005303054,3903054,275 W Market St,,,Akron,OH,44303,2159.0,275 W Market St,,,Akron,OH,44303,2159.0,(234)542-0102,http://www.towpathtrailhigh.org/,1,Open,1,Open,05/13/2025,Regular School,1,No,No,Yes,083246,ST ALOYSIUS ORPHANAGE,,,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,09,12,High,As reported,towpath trail,towpath trail high school,towpath trail,44303,2345420102,275 w market st,133868,Summit,,,,High,Regular School,True,,,unmatched,41.125795305065346,-81.53219505886828,-81.47459746127069,41.14441392368396,county_centroid_jitter,133868,towpath trail,towpath trail,Towpath Trail High School,Towpath Trail High School,Priority (CSI),734.0,True,exact_irn,
2024-2025,39,OHIO,OH,Toledo School For The Arts,Toledo School For The Arts,1,,OH-133942,3900056,OH-133942-133942,390005603084,3903084,333 14th St,,,Toledo,OH,43604,5459.0,333 14th St,,,Toledo,OH,43604,5459.0,(419)246-8732,http://www.ts4arts.org,1,Open,1,Open,05/13/2025,Regular School,1,No,No,Yes,062893,BOWLING GREEN STATE UNIVERSITY,,,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,06,12,High,As reported,toledo for the arts,toledo school for the arts,toledo for the arts,43604,4192468732,333 14th st,133942,Lucas,,,,High,Regular School,True,,,unmatched,41.61976141204927,-83.65903727357033,-83.62330153783459,41.622844495132355,county_centroid_jitter,,,,,,,0.0,False,unmatched,
2024-2025,39,OHIO,OH,Intergenerational School The,Intergenerational School The,1,,OH-133215,3900065,OH-133215-133215,390006503248,3903248,11327 Shaker Blvd Ste 200 E.,,,Cleveland,OH,44104,3805.0,11327 Shaker Blvd Ste 200 E.,,,Cleveland,OH,44104,3805.0,(216)721-0120,http://www.igschools.org,1,Open,1,Open,05/13/2025,Regular School,1,No,No,Yes,048199,ESC OF LAKE ERIE WEST,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported,intergenerational the,intergenerational school the,intergenerational the,44104,2167210120,11327 shaker blvd ste 200 e,133215,Cuyahoga,,,,Elementary,Regular School,True,,,unmatched,41.42432368446187,-81.65872171041782,-81.6922952839914,41.3962556163938,county_centroid_jitter,,,,,,,0.0,False,unmatched,
2024-2025,39,OHIO,OH,Constellation Schools: Parma Community,Constellation Schools: Parma Community,1,,OH-133256,3900068,OH-133256-133256,390006803315,3903315,7667 Day Dr Fl 1ST,,,Parma,OH,44129,5603.0,7667 Day Dr Fl 1ST,,,Parma,OH,44129,5603.0,(440)888-5490,http://parmacommunity.constellationschools.com/,1,Open,1,Open,05/13/2025,Regular School,1,No,No,Yes,048199,ESC OF LAKE ERIE WEST,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,KG,12,Other,As reported,constellation schools parma community,constellation schools parma community,constellation schools parma community,44129,4408885490,7667 day dr fl 1st,133256,Cuyahoga,,,,Other,Regular School,True,,,unmatched,41.42432368446187,-81.65872171041782,-81.65673972843584,41.44013950027768,county_centroid_jitter,,,,,,,0.0,False,unmatched,
2024-2025,39,OHIO,OH,Summit Academy Community School for Alternative Learn-Canton,Summit Academy Community School for Alternative Learn-Canton,1,,OH-133306,3900071,OH-133306-133306,390007103346,3903346,1620 Market Ave S,,,Canton,OH,44707,3778.0,1620 Market Ave S,,,Canton,OH,44707,3778.0,(330)458-0393,http://summitacademies.org/schools/canton-elementary/,1,Open,1,Open,05/13/2025,Regular School,1,No,No,Yes,048199,ESC OF LAKE ERIE WEST,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported,summit academy community for alternative learn canton,summit academy community school for alternative learn canton,summit academy community for alternative learn canton,44707,3304580393,1620 market ave s,133306,Stark,,,,Elementary,Regular School,True,,,unmatched,40.813903970184775,-81.3657525772405,-81.32280963429756,40.81074080702161,county_centroid_jitter,,,,,,,0.0,False,unmatched,
2024-2025,39,OHIO,OH,T.C.P. World Academy,T.C.P. World Academy,1,,OH-133330,3900072,OH-133330-133330,390007203360,3903360,6000 Ridge Ave,,,Cincinnati,OH,45213,1624.0,6000 Ridge Ave,,,Cincinnati,OH,45213,1624.0,(513)531-9500,http://www.tcpworldacademy.us/,1,Open,1,Open,05/13/2025,Regular School,1,No,No,Yes,007991,EDUCATIONAL RESOURCE CONSULTANTS OF OHIO,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,KG,07,Elementary,As reported,t c p world academy,t c p world academy,t c p world academy,45213,5135319500,6000 ridge ave,133330,Hamilton,,,,Elementary,Regular School,True,,,unmatched,39.195579816552296,-84.54271197071733,-84.54373299173835,39.234859095831574,county_centroid_jitter,,,,,,,0.0,False,unmatched,
2024-2025,39,OHIO,OH,Richard Allen Preparatory,Richard Allen Preparatory,1,,OH-133348,3900073,OH-133348-133348,390007303361,3903361,545 Odlin Ave,,,Dayton,OH,45405,5804.0,545 Odlin Ave,,,Dayton,OH,45405,5822.0,(937)951-2800,http://www.richardallenschools.com,1,Open,1,Open,05/13/2025,Regular School,1,No,No,Yes,083246,ST ALOYSIUS ORPHANAGE,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported,richard allen preparatory,richard allen preparatory,richard allen preparatory,45405,9379512800,545 odlin ave,133348,Montgomery,,,,Elementary,Regular School,True,,,unmatched,39.75459201369424,-84.29067041525755,-84.35055029513744,39.74149892060115,county_centroid_jitter,133348,richard allen preparatory,richard allen preparatory,Richard Allen Preparatory,Richard Allen Preparatory,Warning (ATSI),415.0,True,exact_irn,
2024-2025,39,OHIO,OH,Graham School The,Graham School The,1,,OH-133421,3900080,OH-133421-133421,390008003428,3903428,3950 Indianola Ave,,,Columbus,OH,43214,3158.0,3950 Indianola Ave,,,Columbus,OH,43214,3158.0,(614)262-1111,http://www.thegrahamschool.org,1,Open,1,Open,05/13/2025,Regular School,1,No,No,Yes,046938,ESC OF CENTRAL OHIO,,,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,09,12,High,As reported,graham the,graham school the,graham the,43214,6142621111,3950 indianola ave,133421,Franklin,Group 1 - Columbus Core,1.0,Franklin,High,Regular School,True,,,unmatched,39.96948401079257,-83.0093204437284,-83.06763876204671,40.00427880558736,county_centroid_jitter,,,,,,,0.0,False,unmatched,
2024-2025,39,OHIO,OH,Cornerstone Academy Community School,Cornerstone Academy Community School,1,,OH-133439,3900081,OH-133439-133439,390008103441,3903441,6015 E Walnut St,,,Westerville,OH,43081,9620.0,6015 E Walnut St,,,Westerville,OH,43081,9620.0,(614)775-0615,http://cornerstoneacad.org,1,Open,1,Open,05/13/2025,Regular School,1,No,No,Yes,083246,ST ALOYSIUS ORPHANAGE,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,KG,12,Other,As reported,cornerstone academy community,cornerstone academy community school,cornerstone academy community,43081,6147750615,6015 e walnut st,133439,Franklin,Group 1 - Columbus Core,1.0,Franklin,Other,Regular School,True,,,unmatched,39.96948401079257,-83.0093204437284,-83.04229341670137,39.95022475153331,county_centroid_jitter,,,,,,,0.0,False,unmatched,
2024-2025,39,OHIO,OH,Alliance Community Schools Inc. dba Dayton Leadership Acade,Alliance Community Schools Inc. dba Dayton Leadership Acade,1,,OH-133454,3900083,OH-133454-133454,390008303762,3903762,1416 W Riverview Ave,,,Dayton,OH,45402,6217.0,1416 W Riverview Ave,,,Dayton,OH,45402,6217.0,(937)567-9426,http://www.daytonleadershipacademies.com/Default.aspx,1,Open,1,Open,05/13/2025,Regular School,1,No,No,Yes,000821,THOMAS B. FORDHAM FOUNDATION,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported,alliance community schools inc dba dayton leadership acade,alliance community schools inc dba dayton leadership acade,alliance community schools inc dba dayton leadership acade,45402,9375679426,1416 w riverview ave,133454,Montgomery,,,,Elementary,Regular School,True,,,unmatched,39.75459201369424,-84.29067041525755,-84.33589564048278,39.77176919087142,county_centroid_jitter,,,,,,,0.0,False,unmatched,
2024-2025,39,OHIO,OH,River Gate High School,River Gate High School,1,,OH-133488,3900084,OH-133488-133488,390008403786,3903786,458 Franklin St SE,,,Warren,OH,44483,5715.0,458 Franklin St SE,,,Warren,OH,44483,5715.0,(330)647-6500,http://www.rivergatehigh.org/,1,Open,1,Open,05/13/2025,Regular School,1,No,No,Yes,083246,ST ALOYSIUS ORPHANAGE,,,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,09,12,High,As reported,river gate,river gate high school,river gate,44483,3306476500,458 franklin st se,133488,Trumbull,,,,High,Regular School,True,,,unmatched,41.316948049106074,-80.76124901663324,-80.75686463224886,41.29672782888586,county_centroid_jitter,133488,river gate,river gate,River Gate High School,River Gate High School,Priority (CSI),0.0,False,exact_irn,
2024-2025,39,OHIO,OH,Monroe High School,Monroe Local,1,,OH-139303,3900094,OH-139303-139311,390009403602,3903602,220 Yankee Rd,,,Monroe,OH,45050,1042.0,220 Yankee Rd,,,Monroe,OH,45050,1042.0,(513)539-8471,,1,Open,1,Open,05/13/2025,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,09,12,High,As reported,monroe,monroe high school,monroe local,45050,5135398471,220 yankee rd,139311,Butler,,,,High,Regular School,True,,,unmatched,39.438624443153486,-84.57560401259452,-84.55320161019212,39.460206024735065,county_centroid_jitter,,,,,,,0.0,False,unmatched,
2024-2025,39,OHIO,OH,Monroe Elementary School,Monroe Local,1,,OH-139303,3900094,OH-139303-139337,390009403635,3903635,230 Yankee Rd,,,Monroe,OH,45050,1042.0,230 Yankee Rd,,,Monroe,OH,45050,1042.0,(513)539-8101,,1,Open,1,Open,05/13/2025,Regular School,1,No,No,No,,,,,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,02,06,Elementary,As reported,monroe,monroe elementary school,monroe local,45050,5135398101,230 yankee rd,139337,Butler,,,,Elementary,Regular School,True,,,unmatched,39.438624443153486,-84.57560401259452,-84.62803644502695,39.4295353540644,county_centroid_jitter,,,,,,,0.0,False,unmatched,
2024-2025,39,OHIO,OH,Monroe Primary School,Monroe Local,1,,OH-139303,3900094,OH-139303-025221,390009405409,3905409,225 Macready Ave,,,Monroe,OH,45050,1320.0,225 Macready Ave,,,Monroe,OH,45050,1320.0,(513)360-0700,,1,Open,1,Open,05/13/2025,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,PK,01,Elementary,As reported,monroe primary,monroe primary school,monroe local,45050,5133600700,225 macready ave,025221,Butler,,,,Elementary,Regular School,True,,,unmatched,39.438624443153486,-84.57560401259452,-84.59728569427621,39.4552410597701,county_centroid_jitter,,,,,,,0.0,False,unmatched,
2024-2025,39,OHIO,OH,Monroe Junior High School,Monroe Local,1,,OH-139303,3900094,OH-139303-016889,390009405926,3905926,220 Yankee Rd,,,Monroe,OH,45050,1042.0,220 Yankee Rd,,,Monroe,OH,45050,1042.0,(513)539-8471,http://www.monroelocalschools.com/schools/jrhs/,1,Open,1,Open,05/13/2025,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,07,08,Middle,As reported,monroe junior,monroe junior high school,monroe local,45050,5135398471,220 yankee rd,016889,Butler,,,,Middle,Regular School,True,,,unmatched,39.438624443153486,-84.57560401259452,-84.63548389247441,39.41968550421455,county_centroid_jitter,,,,,,,0.0,False,unmatched,
